,Address,corx,cory
456,55 CHURCH STREET,40.711208232744916,-74.0102187965717
457,7 WORLD TRADE CENTER,40.71333251959405,-74.01187481484787
458,140 WEST STREET,40.7137743119096,-74.01293540957361
459,90 CHURCH STREET,40.71273428219789,-74.01064106603107
460,209 BROADWAY,40.711469040064024,-74.00958038470978
461,217 BROADWAY,40.71174631937572,-74.00885179287287
462,14 VESEY STREET,40.71191646574634,-74.00921973933976
463,18 VESEY STREET,40.711987817032664,-74.00937485453665
464,20 VESEY STREET,40.71204818935986,-74.00952636139206
465,26 VESEY STREET,40.71209758000963,-74.00970672378017
466,30 VESEY STREET,40.71215246545857,-74.00982215927864
467,22 BARCLAY STREET,40.71236383459252,-74.00955526347198
468,12 BARCLAY STREET,40.712218395608296,-74.00914403172703
469,225 BROADWAY,40.71199061828435,-74.00865343477193
470,99 NASSAU STREET,40.71051400236038,-74.00772263168933
471,141 FULTON STREET,40.710527712941484,-74.0079174124455
472,143 FULTON STREET,40.71063475544602,-74.0079643165163
473,212 BROADWAY,40.71087077478516,-74.00838997545893
474,1 PARK ROW,40.71117546255406,-74.00812309161546
475,23 PARK ROW,40.71129902527107,-74.0074053010642
476,33 PARK ROW,40.71146373408627,-74.00703739799086
477,34 PARK ROW,40.71146373408627,-74.00703739799086
478,5 BEEKMAN STREET,40.71114534626708,-74.00696161622048
